START: pt. 17 lip 2026 10:58:46 CEST
00:00.254  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
12:55.273  render           | Fra: 3 | Remaining: 06:24.06 | Mem: 3457M | Sample 17/256
13:20.714  render           | Fra: 3 | Remaining: 05:56.51 | Mem: 3457M | Sample 33/256
13:46.327  render           | Fra: 3 | Remaining: 05:31.08 | Mem: 3457M | Sample 49/256
14:11.865  render           | Fra: 3 | Remaining: 05:05.33 | Mem: 3457M | Sample 65/256
14:35.502  render           | Fra: 3 | Remaining: 04:40.60 | Mem: 3457M | Sample 80/256
15:00.657  render           | Fra: 3 | Remaining: 04:14.50 | Mem: 3457M | Sample 96/256
15:25.874  render           | Fra: 3 | Remaining: 03:48.75 | Mem: 3457M | Sample 112/256
15:51.015  render           | Fra: 3 | Remaining: 03:23.05 | Mem: 3457M | Sample 128/256
16:16.364  render           | Fra: 3 | Remaining: 02:57.65 | Mem: 3457M | Sample 144/256
16:41.558  render           | Fra: 3 | Remaining: 02:32.16 | Mem: 3457M | Sample 160/256
17:06.692  render           | Fra: 3 | Remaining: 02:06.69 | Mem: 3457M | Sample 176/256
17:32.221  render           | Fra: 3 | Remaining: 01:41.42 | Mem: 3457M | Sample 192/256
17:57.788  render           | Fra: 3 | Remaining: 01:16.11 | Mem: 3457M | Sample 208/256
18:23.318  render           | Fra: 3 | Remaining: 00:50.76 | Mem: 3457M | Sample 224/256
18:49.088  render           | Fra: 3 | Remaining: 00:25.40 | Mem: 3457M | Sample 240/256
19:14.552  render           | Fra: 3 | Mem: 3457M | Sample 256/256
19:14.552  render           | Fra: 3 | Mem: 3457M | Finished
19:14.648  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0003.png'
19:14.648  render           | Time: 06:49.71 (Saving: 00:00.05)
19:14.648  render           | Rendering frame 4
19:14.650  render           | Start rendering: Scene, ViewLayer
19:14.650  render           | Engine: Cycles
19:15.680  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_0_m
19:15.681  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_1_i
19:15.681  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_2_o
19:15.681  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_3_d
19:15.682  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_4_u
19:15.682  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_5_s
19:15.682  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_4_u
19:15.682  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_5_s
19:15.682  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_6_z
19:15.683  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_7_e
19:15.683  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_8_w
19:15.683  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_7_e
19:15.684  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_9_s
19:15.684  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_10_k
19:15.685  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_11_y
19:15.686  render           | Fra: 4 | Mem: 0M | Synchronizing object | rim_r
19:15.686  render           | Fra: 4 | Mem: 0M | Synchronizing object | rim_l
19:15.686  render           | Fra: 4 | Mem: 0M | Synchronizing object | fill
19:15.686  render           | Fra: 4 | Mem: 0M | Synchronizing object | key
19:15.686  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_11_y
19:15.706  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_8_w
19:15.723  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_9_s
19:15.755  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_10_k
19:15.825  render           | Fra: 4 | Mem: 0M | Initializing
19:15.826  render           | Fra: 4 | Mem: 0M | Waiting for render to start
19:15.826  render           | Fra: 4 | Mem: 0M | Updating Scene
19:15.826  render           | Fra: 4 | Mem: 0M | Updating Shaders
19:15.826  render           | Fra: 4 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Procedurals
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Background
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Camera
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Meshes Flags
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Objects
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Objects | Copying Transformations to device
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Particle Systems
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Particle Systems | Copying Particles to device
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Meshes
19:15.826  render           | Fra: 4 | Mem: 1M | Updating Objects | Applying Static Transformations
19:15.859  render           | Fra: 4 | Mem: 1M | Updating Mesh | Computing attributes
19:15.878  render           | Fra: 4 | Mem: 1M | Updating Mesh | Copying Attributes to device
19:15.943  render           | Fra: 4 | Mem: 105M | Updating Scene BVH | Building
19:15.943  render           | Fra: 4 | Mem: 105M | Updating Scene BVH | Building BVH
